Літера,Відносна частота (%)
 ,15.76
а,7.16
б,1.20
в,5.10
г,1.29
д,2.76
е,3.56
ж,0.74
з,2.19
и,5.32
й,1.54
к,3.03
л,2.57
м,2.93
н,5.39
о,8.17
п,2.77
р,3.70
с,4.21
т,4.19
у,3.24
ф,0.09
х,0.70
ц,0.63
ч,1.16
ш,0.65
щ,0.43
ь,1.34
ю,0.83
я,1.92
є,0.39
і,4.48
ї,0.57
