Літера,Відносна частота (%)
 ,11.58
н,8.45
а,7.42
о,7.19
и,5.61
в,5.40
с,4.40
е,4.16
і,4.16
т,3.92
р,3.69
у,3.53
л,3.45
п,3.19
д,2.90
я,2.84
м,2.84
к,2.79
з,2.21
г,1.37
б,1.26
х,1.21
й,0.89
ч,0.87
ь,0.84
ц,0.82
ж,0.58
ш,0.53
ю,0.53
є,0.53
ї,0.53
щ,0.18
ф,0.16
