Літера,Відносна частота (%)
я,14.87
з,9.04
щ,6.71
і,5.54
ю,5.25
у,5.25
а,4.37
ї,4.08
б,4.08
 ,3.79
ш,3.79
л,3.21
ь,3.21
в,2.62
е,2.33
о,2.33
р,2.04
є,1.75
х,1.75
с,1.75
к,1.75
ж,1.46
г,1.46
м,1.17
и,1.17
ц,1.17
ф,1.17
п,0.87
ч,0.58
ґ,0.58
д,0.58
т,0.29
