Літера,Відносна частота (%)
 ,15.76
о,8.17
а,7.16
н,5.39
и,5.32
в,5.10
і,4.48
с,4.21
т,4.19
р,3.70
е,3.56
у,3.24
к,3.03
м,2.93
п,2.77
д,2.76
л,2.57
з,2.19
я,1.92
й,1.54
ь,1.34
г,1.29
б,1.20
ч,1.16
ю,0.83
ж,0.74
х,0.70
ш,0.65
ц,0.63
ї,0.57
щ,0.43
є,0.39
ф,0.09
