Літера,Відносна частота (%)
 ,3.79
а,4.37
б,4.08
в,2.62
г,1.46
д,0.58
е,2.33
ж,1.46
з,9.04
и,1.17
к,1.75
л,3.21
м,1.17
о,2.33
п,0.87
р,2.04
с,1.75
т,0.29
у,5.25
ф,1.17
х,1.75
ц,1.17
ч,0.58
ш,3.79
щ,6.71
ь,3.21
ю,5.25
я,14.87
є,1.75
і,5.54
ї,4.08
ґ,0.58
