Літера,Відносна частота (%)
ґ,17.84
д,7.54
у,7.29
л,6.30
є,4.49
т,4.31
ч,4.31
м,4.08
п,3.64
і,3.59
ц,3.55
х,3.11
р,3.06
ш,2.91
и,2.51
с,2.25
ф,2.14
е,2.12
г,1.99
к,1.93
б,1.49
о,1.41
я,1.33
ь,1.32
ж,1.22
 ,0.82
н,0.76
а,0.72
й,0.66
ю,0.57
в,0.52
ї,0.21
щ,0.02
