Літера,Відносна частота (%)
 ,0.82
а,0.72
б,1.49
в,0.52
г,1.99
д,7.54
е,2.12
ж,1.22
и,2.51
й,0.66
к,1.93
л,6.30
м,4.08
н,0.76
о,1.41
п,3.64
р,3.06
с,2.25
т,4.31
у,7.29
ф,2.14
х,3.11
ц,3.55
ч,4.31
ш,2.91
щ,0.02
ь,1.32
ю,0.57
я,1.33
є,4.49
і,3.59
ї,0.21
ґ,17.84
