Літера,Відносна частота (%)
 ,11.58
а,7.42
б,1.26
в,5.40
г,1.37
д,2.90
е,4.16
ж,0.58
з,2.21
и,5.61
й,0.89
к,2.79
л,3.45
м,2.84
н,8.45
о,7.19
п,3.19
р,3.69
с,4.40
т,3.92
у,3.53
ф,0.16
х,1.21
ц,0.82
ч,0.87
ш,0.53
щ,0.18
ь,0.84
ю,0.53
я,2.84
є,0.53
і,4.16
ї,0.53
