Біграма,Відносна частота (%)
лґ,2.564
дґ,2.184
уґ,1.909
ґт,1.656
мґ,1.519
іґ,1.477
ґф,1.466
ґє,1.445
ґч,1.414
ґц,1.350
тд,1.308
ґк,1.234
ґе,1.066
оґ,1.044
чл,0.960
гґ,0.939
чд,0.939
шґ,0.897
ґи,0.886
єґ,0.855
рл,0.823
пл,0.770
пд,0.749
ґґ,0.738
ьґ,0.728
ху,0.717
цч,0.707
жу,0.696
фу,0.686
дє,0.686
